"filename", "language", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript", "TypeScript React", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\models\clubModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\models\userModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\routes\authRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\routes\boxerRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\routes\clubRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\dist\routes\userRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\package-lock.json", "JSON", 0, 0, 7103, 0, 0, 0, 0, 0, 0, 0, 1, 7104
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\package.json", "JSON", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 64
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\config\config.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 6, 44
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\config\db.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 6, 23
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\controllers\authController.ts", "TypeScript", 0, 0, 0, 0, 238, 0, 0, 0, 0, 39, 42, 319
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\controllers\boxerController.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 15, 8, 88
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\controllers\clubController.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 17, 9, 98
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\controllers\errorController.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 11, 73
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\controllers\userController.ts", "TypeScript", 0, 0, 0, 0, 90, 0, 0, 0, 0, 24, 13, 127
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\index.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 19, 18, 98
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\models\boxerModel.ts", "TypeScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 8, 95
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\models\clubModel.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\models\fightsModel.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"c:\Users\danie\Desktop\Master School\Projects\Boxer-Connect(Final Project)\server\models\userModel.ts", "TypeScript", 0, 0, 0, 0, 123, 0, 0, 0, 0, 4, 15, 142
